symbol,priceChange,priceChangePercent,weightedAvgPrice,prevClosePrice,lastPrice,lastQty,bidPrice,bidQty,askPrice,askQty,openPrice,highPrice,lowPrice,volume,quoteVolume,openTime,closeTime,firstId,lastId,count
AUDUSDT,0.01110000,1.631,0.68694749,0.68050000,0.69160000,67.00000000,0.69160000,2015.00000000,0.69190000,944.00000000,0.68050000,0.69390000,0.68040000,2069956.00000000,1421951.08200000,1684624120279,1684710520279,19473374,19485429,12056
BNBDOWNUSDT,0.00018000,1.676,0.01076109,0.01074000,0.01092000,19272.32000000,0.01091000,37510.93000000,0.01093000,90672.74000000,0.01074000,0.01098000,0.01065000,6570446.63000000,70705.19706310,1684624138217,1684710538217,35828029,35828946,918
SUSDUSDT,0.00000000,0.000,0.00000000,0.99600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681653096813,1681739496813,-1,-1,0
XLMUPUSDT,0.00000000,0.000,0.00000000,0.02430000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651851969,1681738251969,-1,-1,0
ELFUSDT,-0.00060000,-0.213,0.28155560,0.28140000,0.28080000,296.80000000,0.28060000,150.00000000,0.28080000,531.20000000,0.28140000,0.28500000,0.27860000,609683.40000000,171659.77456000,1684624138387,1684710538387,8830306,8833574,3269
EDUUSDT,-0.00209000,-0.185,1.16231689,1.13095000,1.12880000,518.00000000,1.12852000,443.00000000,1.12895000,360.00000000,1.13089000,1.22390000,1.11000000,51402373.00000000,59745846.51360000,1684624309449,1684710709449,7201811,7355532,153722
SUSHIUPUSDT,0.00000000,0.000,0.00000000,0.00471400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651464575,1681737864575,-1,-1,0
REEFUSDT,-0.00006600,-2.901,0.00223117,0.00227400,0.00220900,142779.00000000,0.00220900,2037427.00000000,0.00221000,439899.00000000,0.00227500,0.00228400,0.00218900,392808584.00000000,876423.45067100,1684624194939,1684710594939,73084290,73089407,5118
STEEMUSDT,-0.00330000,-1.679,0.19527102,0.19650000,0.19320000,115.00000000,0.19320000,307.00000000,0.19350000,4232.80000000,0.19650000,0.19870000,0.19180000,567348.20000000,110786.66362000,1684624271306,1684710671306,3296900,3298678,1779
BCHUSDT,-1.40000000,-1.204,115.40942527,116.30000000,114.90000000,0.17700000,114.90000000,358.08300000,115.00000000,23.22000000,116.30000000,117.10000000,113.80000000,14011.19700000,1617024.19310000,1684624105920,1684710505920,139491490,139499253,7764
ALCXUSDT,-0.85000000,-4.791,17.18992966,17.77000000,16.89000000,1.59220000,16.87000000,6.14560000,16.89000000,3.26420000,17.74000000,17.86000000,16.71000000,14779.22540000,254053.84504600,1684624259624,1684710659624,4761915,4765056,3142
DNTUSDT,0.00000000,0.000,0.00000000,0.03600000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
DREPUSDT,0.05410000,15.686,0.41845385,0.34480000,0.39900000,213.00000000,0.39830000,130.00000000,0.39900000,16172.00000000,0.34490000,0.45500000,0.34360000,68493035.00000000,28661174.18720000,1684624102601,1684710502601,20247924,20392526,144603
LTCUPUSDT,0.00000000,0.000,0.00000000,0.48010000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651464575,1681737864575,-1,-1,0
MDXUSDT,-0.00220000,-3.202,0.06754746,0.06890000,0.06650000,4464.40000000,0.06650000,5908.60000000,0.06660000,9886.70000000,0.06870000,0.06920000,0.06610000,2657331.60000000,179496.00940000,1684624193202,1684710593202,20760980,20762932,1953
ETHUPUSDT,-0.05600000,-1.077,5.16681431,5.19400000,5.14500000,4.87000000,5.14200000,7.98000000,5.14600000,57.88000000,5.20100000,5.25700000,5.08500000,52741.14000000,272503.67711000,1684624136015,1684710536015,28142857,28146558,3702
AAVEUPUSDT,0.00000000,0.000,0.00000000,0.60080000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681653096813,1681739496813,-1,-1,0
FUNUSDT,-0.00000200,-0.037,0.00586779,0.00541500,0.00541400,3987.00000000,0.00541300,4200.00000000,0.00541600,8700.00000000,0.00541600,0.00632000,0.00537800,1369761027.00000000,8037476.83417200,1684624061832,1684710461832,21677337,21742239,64903
HFTUSDT,-0.02670000,-5.749,0.44616166,0.46430000,0.43770000,2142.50000000,0.43770000,878.70000000,0.43780000,77.80000000,0.46440000,0.46620000,0.43190000,5375848.90000000,2398497.65866000,1684624291519,1684710691519,13325729,13340499,14771
MFTUSDT,0.00000000,0.000,0.00000000,0.00525400,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652403167,1681738803167,-1,-1,0
JASMYUSDT,-0.00017800,-3.554,0.00491207,0.00500900,0.00483100,58126.50000000,0.00483300,50000.00000000,0.00483400,103119.90000000,0.00500900,0.00503900,0.00477700,1147988563.50000000,5639005.62014870,1684624245558,1684710645558,46447318,46467810,20493
RAREUSDT,-0.00630000,-6.034,0.10073296,0.10450000,0.09810000,1019.30000000,0.09800000,2094.70000000,0.09810000,4610.60000000,0.10440000,0.10450000,0.09750000,4684151.00000000,471848.41205000,1684624147974,1684710547974,12873655,12877082,3428
FORTHUSDT,-0.05700000,-1.930,2.91262837,2.95300000,2.89600000,13.99000000,2.90100000,20.00000000,2.90300000,68.89000000,2.95300000,2.95300000,2.87700000,19211.14000000,55954.91129000,1684624218475,1684710618475,13817305,13817802,498
API3USDT,-0.05500000,-4.294,1.24877848,1.28100000,1.22600000,496.30000000,1.22500000,16175.68000000,1.22600000,319.79000000,1.28100000,1.28500000,1.21800000,503471.82000000,628724.77313000,1684624274183,1684710674183,10854752,10860943,6192
CRVUSDT,0.01100000,1.329,0.83363869,0.82800000,0.83900000,2181.10000000,0.83900000,3961.50000000,0.84000000,29622.70000000,0.82800000,0.84400000,0.81800000,5721104.80000000,4769334.29330000,1684624145263,1684710545263,97088677,97104510,15834
MTLUSDT,-0.03100000,-2.987,1.02023789,1.03900000,1.00700000,1754.00000000,1.00700000,3040.10000000,1.00800000,4456.10000000,1.03800000,1.04100000,0.99900000,823761.30000000,840432.48860000,1684624089516,1684710489516,30998262,31001193,2932
XLMDOWNUSDT,0.00000000,0.000,0.00000000,4.30400000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681653096790,1681739496790,-1,-1,0
FIROUSDT,-0.07700000,-4.256,1.80902598,1.80900000,1.73200000,40.40000000,1.73100000,43.10000000,1.73200000,325.20000000,1.80900000,1.88000000,1.72300000,301842.80000000,546041.46570000,1684624107476,1684710507476,12609145,12613399,4255
TROYUSDT,-0.00007600,-2.874,0.00260499,0.00264600,0.00256800,22220.00000000,0.00256400,53243.00000000,0.00256800,55250.00000000,0.00264400,0.00264400,0.00255600,109118138.00000000,284251.50291800,1684623925004,1684710325004,29804173,29806881,2709
LAZIOUSDT,-0.06690000,-2.668,2.47086157,2.50800000,2.44070000,24.46000000,2.44090000,122.90000000,2.44210000,21.90000000,2.50760000,2.52470000,2.42340000,244216.39000000,603424.89187800,1684624249216,1684710649216,22300397,22306957,6561
ATMUSDT,-0.02500000,-0.889,2.78560311,2.81500000,2.78800000,9.51000000,2.78800000,62.22000000,2.79200000,33.10000000,2.81300000,2.86400000,2.73300000,195918.06000000,545749.95796000,1684624181344,1684710581344,16329571,16334207,4637
1INCHDOWNUSDT,0.00000000,0.000,0.00000000,0.00614800,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681653096813,1681739496813,-1,-1,0
DATAUSDT,-0.00102000,-3.563,0.02811408,0.02867000,0.02761000,726.40000000,0.02758000,4665.10000000,0.02761000,15735.20000000,0.02863000,0.02880000,0.02738000,4600945.00000000,129351.33521400,1684624089385,1684710489385,25915526,25916469,944
XRPUSDT,-0.01000000,-2.131,0.46298002,0.46920000,0.45930000,200.00000000,0.45930000,2238.00000000,0.45940000,133730.00000000,0.46930000,0.47060000,0.45500000,152072901.00000000,70406714.73740000,1684624061023,1684710461023,524684260,524786976,102717
BATUSDT,-0.00210000,-0.953,0.21890288,0.22040000,0.21830000,189.00000000,0.21830000,9761.00000000,0.21850000,1552.00000000,0.22040000,0.22210000,0.21560000,1561282.00000000,341769.12490000,1684624042222,1684710442222,67429796,67432483,2688
WINUSDT,0.00000000,0.000,0.00007493,0.00007450,0.00007450,7941858.00000000,0.00007450,2619043.00000000,0.00007460,5638207.00000000,0.00007450,0.00007620,0.00007390,6645787884.00000000,497999.86708020,1684624084512,1684710484512,96905582,96913291,7710
GLMRUSDT,-0.00350000,-1.232,0.28150261,0.28410000,0.28060000,1000.00000000,0.28040000,1291.80000000,0.28060000,1035.80000000,0.28410000,0.28500000,0.27780000,2682749.80000000,755201.06612000,1684624228471,1684710628471,22346239,22353756,7518
SNTUSDT,-0.00037000,-1.518,0.02420116,0.02445000,0.02400000,5203.00000000,0.02394000,7369.00000000,0.02397000,8347.00000000,0.02437000,0.02465000,0.02384000,2102225.00000000,50876.28524000,1684623545021,1684709945021,8709,9302,594
DUSKUSDT,-0.00260000,-1.715,0.14929748,0.15160000,0.14900000,109.00000000,0.14900000,32157.00000000,0.14910000,8542.00000000,0.15160000,0.15260000,0.14660000,4667521.00000000,696849.10750000,1684624086680,1684710486680,35376616,35387066,10451
PNTUSDT,0.00450000,3.529,0.13341949,0.12740000,0.13200000,788.00000000,0.13180000,546.00000000,0.13210000,1240.00000000,0.12750000,0.14010000,0.12640000,16720658.00000000,2230861.65080000,1684624060588,1684710460588,19454851,19467533,12683
KSMUSDT,-0.64000000,-2.468,25.49337958,25.92000000,25.29000000,0.62800000,25.27000000,19.18400000,25.29000000,19.37200000,25.93000000,26.02000000,25.02000000,20819.92900000,530770.35282000,1684624155718,1684710555718,63879766,63885058,5293
EOSDOWNUSDT,0.00000000,0.000,0.00000000,0.00036650,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651135634,1681737535634,-1,-1,0
FRONTUSDT,-0.00490000,-2.716,0.17834429,0.18040000,0.17550000,77.00000000,0.17520000,478.00000000,0.17540000,567.00000000,0.18040000,0.18160000,0.17500000,1436866.00000000,256256.84840000,1684624101693,1684710501693,6308582,6310421,1840
GBPUSDT,0.00200000,0.161,1.23989563,1.24000000,1.24300000,40.20000000,1.24200000,117143.60000000,1.24300000,116223.90000000,1.24100000,1.24300000,1.23800000,4235130.90000000,5251120.29990000,1684624101545,1684710501545,28433430,28439122,5693
CLVUSDT,-0.00106000,-2.173,0.04849971,0.04879000,0.04773000,1915.80000000,0.04769000,968.10000000,0.04774000,25290.60000000,0.04879000,0.04892000,0.04738000,8548454.60000000,414597.58563400,1684624117205,1684710517205,13140652,13142672,2021
MIRUSDT,0.00000000,0.000,0.00000000,0.14168000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681652395531,1681738795531,-1,-1,0
ZILUSDT,-0.00055000,-2.279,0.02369812,0.02415000,0.02358000,877.30000000,0.02358000,108068.40000000,0.02359000,24536.30000000,0.02413000,0.02425000,0.02326000,68289427.10000000,1618330.92273000,1684624073091,1684710473091,99668576,99677838,9263
XRPUPUSDT,-0.01120000,-11.582,0.09146456,0.09680000,0.08550000,3073.40000000,0.00000000,0.00000000,0.00000000,0.00000000,0.09670000,0.09780000,0.08500000,7230839.29000000,661365.55787000,1683774003827,1683860403827,19318613,19333046,14434
USDCUSDT,-0.00010000,-0.010,0.99961182,0.99960000,0.99960000,51.00000000,0.99960000,5220021.00000000,0.99970000,3506275.00000000,0.99970000,0.99980000,0.99950000,92454900.00000000,92419010.71600000,1684624067203,1684710467203,61665511,61702447,36937
FLOWUSDT,-0.02100000,-2.727,0.75754072,0.77000000,0.74900000,26.79000000,0.74800000,24747.45000000,0.74900000,1866.90000000,0.77000000,0.77500000,0.73700000,1490312.03000000,1128972.04876000,1684624234315,1684710634315,20758087,20763143,5057
VIDTUSDT,-0.00088000,-2.813,0.03091308,0.03129000,0.03040000,3396.00000000,0.03040000,28371.00000000,0.03043000,6572.00000000,0.03128000,0.03155000,0.03012000,8272908.00000000,255741.04884000,1684624222487,1684710622487,13919620,13921585,1966
BALUSDT,0.03600000,0.674,5.35139819,5.33900000,5.37500000,42.79000000,5.37700000,38.45000000,5.37800000,37.18000000,5.33900000,5.42200000,5.27400000,71005.33000000,379977.79467000,1684624144646,1684710544646,16954371,16957137,2767
LRCUSDT,-0.00590000,-1.978,0.29362611,0.29840000,0.29240000,93.00000000,0.29240000,4151.00000000,0.29250000,1000.00000000,0.29830000,0.29930000,0.28770000,3654868.00000000,1073164.65840000,1684624132394,1684710532394,88404689,88409997,5309
LQTYUSDT,-0.04500000,-3.451,1.29024572,1.30400000,1.25900000,1030.40000000,1.25800000,64.00000000,1.25900000,2362.70000000,1.30400000,1.34000000,1.23800000,3443943.80000000,4443533.74310000,1684624297914,1684710697914,8550082,8571340,21259
BNBBEARUSDT,0.00000000,0.000,0.00000000,58.61000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,1681651143179,1681737543179,-1,-1,0
QIUSDT,-0.00031000,-3.919,0.00776574,0.00791000,0.00760000,2583.00000000,0.00759000,104644.00000000,0.00760000,23344.00000000,0.00791000,0.00791000,0.00753000,49559687.00000000,384867.68957000,1684624253191,1684710653191,12457640,12460353,2714
QTUMUSDT,-0.06500000,-2.467,2.60205738,2.63500000,2.57000000,321.20000000,2.57000000,56.30000000,2.57100000,623.30000000,2.63500000,2.64300000,2.55100000,97075.30000000,252595.50050000,1684624049049,1684710449049,68098427,68100918,2492
MATICUSDT,-0.01510000,-1.727,0.86811591,0.87420000,0.85910000,476.10000000,0.85910000,5379.80000000,0.85920000,27432.50000000,0.87420000,0.88000000,0.85280000,22042806.10000000,19135710.59218000,1684624081155,1684710481155,335674342,335727939,53598
HBARUSDT,-0.00050000,-0.945,0.05244230,0.05290000,0.05240000,51248.00000000,0.05230000,860316.00000000,0.05240000,238864.00000000,0.05290000,0.05310000,0.05170000,31622181.00000000,1658339.83680000,1684624100426,1684710500426,63998920,64008813,9894
WINGUSDT,-0.21000000,-3.621,5.71803631,5.80000000,5.59000000,40.17000000,5.59000000,3.46000000,5.60000000,502.84000000,5.80000000,5.86000000,5.56000000,81745.60000000,467424.30880000,1684624133277,1684710533277,20306718,20311646,4929
RSRUSDT,-0.00003700,-1.242,0.00294907,0.00298000,0.00294200,29004.00000000,0.00294000,35109.00000000,0.00294100,193257.90000000,0.00297900,0.00300100,0.00288700,399057808.30000000,1176848.57711780,1684624154819,1684710554819,53521958,53528744,6787
VOXELUSDT,-0.00790000,-4.178,0.18429910,0.18900000,0.18120000,178.10000000,0.18120000,443.50000000,0.18130000,11.80000000,0.18910000,0.19010000,0.17950000,2867948.30000000,528560.29563000,1684624250993,1684710650993,17913715,17918413,4699
NULSUSDT,-0.00650000,-2.952,0.21605313,0.22020000,0.21370000,280.00000000,0.21330000,253.00000000,0.21380000,439.00000000,0.22020000,0.22150000,0.21070000,646758.00000000,139734.09150000,1684624059205,1684710459205,23354964,23356371,1408
ARPAUSDT,0.00186000,3.424,0.05597006,0.05435000,0.05618000,2043.60000000,0.05619000,7908.40000000,0.05620000,2631.10000000,0.05432000,0.05900000,0.05365000,228115995.70000000,12767665.35346200,1684624103121,1684710503121,39892602,39980744,88143
FISUSDT,-0.02000000,-5.493,0.35420525,0.36410000,0.34410000,58.00000000,0.34400000,581.00000000,0.34410000,21.00000000,0.36410000,0.36470000,0.34230000,1155672.00000000,409345.09360000,1684624189432,1684710589432,17768927,17772152,3226
OXTUSDT,-0.00160000,-2.343,0.06732045,0.06830000,0.06670000,26340.00000000,0.06660000,1799.00000000,0.06670000,4055.00000000,0.06830000,0.06850000,0.06650000,1220388.00000000,82157.06870000,1684624020127,1684710420127,18480244,18480897,654
